venue,year,area,deadline_label,deadline_date,timezone,conference_dates,place,website,status,source
CHIIR,2027,HCI,Short Papers,2026-10-29T23:59:00-12:00,AoE,"March 7-11, 2027","Berlin, Germany",https://chiir2027.github.io/,announced,https://chiir2027.github.io/
CHIIR,2027,HCI,"Demos, Design and Resource Papers",2026-10-29T23:59:00-12:00,AoE,"March 7-11, 2027","Berlin, Germany",https://chiir2027.github.io/,announced,https://chiir2027.github.io/
WWW,2027,WS,Research & Industry Track (Abstract),2026-10-11T23:59:00-12:00,AoE,"May 10-14, 2027","Dublin, Ireland",https://acmweb2027.org/,announced,https://acmweb2027.org/ ; https://acmweb2027.org/important-dates/
WWW,2027,WS,Research & Industry Track (Full Paper),2026-10-18T23:59:00-12:00,AoE,"May 10-14, 2027","Dublin, Ireland",https://acmweb2027.org/,announced,https://acmweb2027.org/ ; https://acmweb2027.org/important-dates/
DIS,2027,HCI,Full Paper & Pictorials (Abstract & Title),2027-01-11T23:59:00-12:00,AoE,"June 28 – July 2, 2027","Stockholm, Sweden (KTH Royal Institute of Technology)",https://dis.acm.org/2027/,announced,https://dis.acm.org/2027/ ; https://dis.acm.org/2027/contributing/
DIS,2027,HCI,Full Papers & Pictorials,2027-01-18T23:59:00-12:00,AoE,"June 28 – July 2, 2027","Stockholm, Sweden (KTH Royal Institute of Technology)",https://dis.acm.org/2027/,announced,https://dis.acm.org/2027/ ; https://dis.acm.org/2027/contributing/
CSCW,2027,SC,Full Paper (rolling / continuous submission — no fixed deadline),rolling,AoE,,,https://cscw.acm.org/rolling.html,announced,https://cscw.acm.org/rolling.html ; https://cscw.acm.org/2026/papers.html ; https://sigchi.org/conferences/upcoming/
GROUP,2027,SC,Wave 2 Abstract & Title,2026-03-17T23:59:00-12:00,AoE,"January 10-13, 2027","St. Simons Island, Georgia, USA",https://group.acm.org/conferences/group27/,announced,https://group.acm.org/conferences/group27/papers.php ; https://www.getpaperpilot.com/deadlines/group-2027.html ; https://sigchi.org/events/group-2027/ ; https://www.myhuiban.com/conference/880
GROUP,2027,SC,Wave 2 Full Paper,2026-03-24T23:59:00-12:00,AoE,"January 10-13, 2027","St. Simons Island, Georgia, USA",https://group.acm.org/conferences/group27/,announced,https://group.acm.org/conferences/group27/papers.php ; https://www.getpaperpilot.com/deadlines/group-2027.html ; https://sigchi.org/events/group-2027/ ; https://www.myhuiban.com/conference/880
HCOMP,2026,SC,Abstract,2026-06-08T23:59:00-12:00,AoE,"September 27-30, 2026","Near Washington, DC, USA (Virginia Tech Academic Building One)",https://hcomp.acm.org/2026/,announced,https://hcomp.acm.org/2026/
HCOMP,2026,SC,Full Paper,2026-06-15T23:59:00-12:00,AoE,"September 27-30, 2026","Near Washington, DC, USA (Virginia Tech Academic Building One)",https://hcomp.acm.org/2026/,announced,https://hcomp.acm.org/2026/
CI,2026,SC,Full Paper,2026-06-15T23:59:00-12:00,AoE,"September 27-30, 2026","Near Washington, DC, USA (Virginia Tech Academic Building One)",https://ci.acm.org/2026/,announced,https://ci.acm.org/2026/cfp.html
ASONAM,2026,SC,Research Track Full Paper,2026-05-10T23:59:00-12:00,AoE,"August 24-27, 2026","Rabat, Morocco",https://asonam.cpsc.ucalgary.ca/2026/,announced,https://asonam.cpsc.ucalgary.ca/2026/CFP.php
ECSCW,2026,HCI,Conference & Exploratory Papers,2026-03-06T23:59:00-12:00,AoE,"June 29 – July 3, 2026","Munich, Germany",https://ecscw.eusset.eu/2026/,announced,https://ecscw.eusset.eu/2026/2025/09/29/ecscw-2026-call-for-papers/
ECSCW,2026,HCI,Demos & Posters,2026-03-20T23:59:00-12:00,AoE,"June 29 – July 3, 2026","Munich, Germany",https://ecscw.eusset.eu/2026/,announced,https://ecscw.eusset.eu/2026/2025/09/29/ecscw-2026-call-for-papers/
iConference,2026,SC,Full Research Papers,2025-09-15T23:59:00-12:00,AoE,"March 29 – April 2, 2026","Edinburgh, United Kingdom (Edinburgh Napier University)",https://www.ischools.org/iconference,past,https://www.ischools.org/post/iconference-2026-call-for-papers
CSCW,2025,SC,Submission (final cycle),2024-10-29T23:59:00-12:00,AoE,"October 18-22, 2025","Bergen, Norway",https://cscw.acm.org/2025/,past,https://cscw.acm.org/2025/
SBP-BRiMS,2025,SC,Full Paper,2025-07-02T23:59:00-12:00,AoE,"October 15-17, 2025","Pittsburgh, PA, USA (Carnegie Mellon University)",https://sbp-brims.org/2025/,past,https://sbp-brims.org/2025/
UIST,2025,HCI,Abstract registration,2025-04-02T23:59:00-12:00,AoE,"September 28 – October 1, 2025","Busan, Republic of Korea",https://uist.acm.org/2025/,past,https://uist.acm.org/2025/cfp/
UIST,2025,HCI,Full Paper,2025-04-09T23:59:00-12:00,AoE,"September 28 – October 1, 2025","Busan, Republic of Korea",https://uist.acm.org/2025/,past,https://uist.acm.org/2025/cfp/
ASONAM,2025,SC,Research Track Full Paper (extended),2025-05-18T23:59:00-12:00,AoE,"August 25-28, 2025","Niagara Falls, Ontario, Canada",https://asonam.cpsc.ucalgary.ca/2025/,past,https://asonam.cpsc.ucalgary.ca/2025/CFP.php
KDD,2025,WS,Full Paper (Cycle 1),2024-08-08T23:59:00-12:00,AoE,"August 3-7, 2025","Toronto, Canada",https://kdd2025.kdd.org/,past,https://kdd2025.kdd.org/research-track-call-for-papers/
KDD,2025,WS,Full Paper (Cycle 2),2025-02-10T23:59:00-12:00,AoE,"August 3-7, 2025","Toronto, Canada",https://kdd2025.kdd.org/,past,https://kdd2025.kdd.org/research-track-call-for-papers/
CI,2025,SC,Full Paper / Extended Abstract,2025-04-01T23:59:00-12:00,AoE,"August 4-6, 2025","La Jolla, CA, USA (UC San Diego)",https://ci.acm.org/2025/,past,https://ci.acm.org/2025/submit/
IC2S2,2025,SC,"Abstract (extended abstract, max 2 pages)",2025-02-26T23:59:00-12:00,AoE,"July 21-24, 2025","Norrköping, Sweden",https://ic2s2-2025.org/,past,https://ic2s2-2025.org/
DIS,2025,HCI,Abstract,2025-01-13T23:59:00-12:00,AoE,"July 5-9, 2025","Funchal, Madeira, Portugal",https://dis.acm.org/2025/,past,https://dis.acm.org/2025/call-for-papers/
DIS,2025,HCI,Full Paper,2025-01-20T23:59:00-12:00,AoE,"July 5-9, 2025","Funchal, Madeira, Portugal",https://dis.acm.org/2025/,past,https://dis.acm.org/2025/call-for-papers/
ECSCW,2025,HCI,Conference Papers (extended),2025-02-25T23:59:00-12:00,AoE,"June 30 – July 4, 2025","Newcastle upon Tyne, United Kingdom",https://ecscw.eusset.eu/2025/,past,https://ecscw.eusset.eu/2025/index.php/conference-papers/
ICWSM,2025,WS,Round 2 Full Paper,2024-09-15T23:59:00-12:00,AoE,"June 23-26, 2025","Copenhagen, Denmark",https://www.icwsm.org/2025/,past,https://www.icwsm.org/2025/
ICWSM,2025,WS,Round 3 Full Paper,2025-01-15T23:59:00-12:00,AoE,"June 23-26, 2025","Copenhagen, Denmark",https://www.icwsm.org/2025/,past,https://www.icwsm.org/2025/
AAMAS,2025,SC,Abstract (Main Track),2024-10-09T23:59:00-12:00,AoE,"May 19-23, 2025","Detroit, Michigan, USA",https://aamas2025.org/,past,https://aamas2025.org/index.php/conference/calls/call-for-papers-main-technical-track/
AAMAS,2025,SC,Full Paper (Main Track),2024-10-16T23:59:00-12:00,AoE,"May 19-23, 2025","Detroit, Michigan, USA",https://aamas2025.org/,past,https://aamas2025.org/index.php/conference/calls/call-for-papers-main-technical-track/
WWW,2025,WS,Abstract,2024-10-07T23:59:00-12:00,AoE,"April 28 – May 2, 2025","Sydney, Australia",https://www2025.thewebconf.org/,past,https://www2025.thewebconf.org/
WWW,2025,WS,Full Paper,2024-10-14T23:59:00-12:00,AoE,"April 28 – May 2, 2025","Sydney, Australia",https://www2025.thewebconf.org/,past,https://www2025.thewebconf.org/
CHI,2025,HCI,Abstract,2024-09-05T23:59:00-12:00,AoE,"April 26 – May 1, 2025","Yokohama, Japan",https://chi2025.acm.org/,past,https://chi2025.acm.org/for-authors/papers/
CHI,2025,HCI,Full Paper,2024-09-12T23:59:00-12:00,AoE,"April 26 – May 1, 2025","Yokohama, Japan",https://chi2025.acm.org/,past,https://chi2025.acm.org/for-authors/papers/
CHIIR,2025,HCI,Full and Perspective Papers (extended),2024-10-24T23:59:00-12:00,AoE,"March 24-28, 2025","Melbourne, Australia",https://chiir2025.github.io/,past,https://chiir2025.github.io/cfp.html
CHIIR,2025,HCI,Short Papers / Demos (extended),2024-11-04T23:59:00-12:00,AoE,"March 24-28, 2025","Melbourne, Australia",https://chiir2025.github.io/,past,https://chiir2025.github.io/cfp.html
WSDM,2025,WS,Abstract,2024-08-07T23:59:00-12:00,AoE,"March 10-14, 2025","Hannover, Germany",https://www.wsdm-conference.org/2025/,past,https://www.wsdm-conference.org/2025/call-for-papers/
WSDM,2025,WS,Full Paper,2024-08-14T23:59:00-12:00,AoE,"March 10-14, 2025","Hannover, Germany",https://www.wsdm-conference.org/2025/,past,https://www.wsdm-conference.org/2025/call-for-papers/
